Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 1073,South Africa,Netherlands,328/3,"(50 ov, T:329) 168/8",South Africa,160 runs,Rawalpindi,1996-03-05,1996
ODI # 1075,India,Zimbabwe,247/5,"(49.4/50 ov, T:248) 207",India,40 runs,Kanpur,1996-03-06,1996
ODI # 1074,Sri Lanka,Kenya,398/5,"(50 ov, T:399) 254/7",Sri Lanka,144 runs,Kandy,1996-03-06,1996
ODI # 1076,Pakistan,New Zealand,281/5,"(47.3/50 ov, T:282) 235",Pakistan,46 runs,Lahore,1996-03-06,1996
ODI # 1077,England,Sri Lanka,235/8,(40.4/50 ov) 236/5,Sri Lanka,5 wickets,Faisalabad,1996-03-09,1996
ODI # 1078,India,Pakistan,287/8,"(49/49 ov, T:288) 248/9",India,39 runs,Bengaluru,1996-03-09,1996
ODI # 1079,West Indies,South Africa,264/8,"(49.3/50 ov, T:265) 245",West Indies,19 runs,Karachi,1996-03-11,1996
ODI # 1080,New Zealand,Australia,286/9,"(47.5/50 ov, T:287) 289/4",Australia,6 wickets,Chennai,1996-03-11,1996
ODI # 1082,Australia,West Indies,207/8,"(49.3/50 ov, T:208) 202",Australia,5 runs,Mohali,1996-03-14,1996
ODI # 1083,Australia,Sri Lanka,241/7,"(46.2/50 ov, T:242) 245/3",Sri Lanka,7 wickets,Lahore,1996-03-17,1996
ODI # 1084,New Zealand,West Indies,243,"(49.1/50 ov, T:244) 247/9",West Indies,1 wicket,Kingston,1996-03-26,1996
ODI # 1085,West Indies,New Zealand,238/7,(49.5/50 ov) 239/6,New Zealand,4 wickets,Port of Spain,1996-03-29,1996
ODI # 1086,New Zealand,West Indies,219/8,"(45.4/50 ov, T:220) 225/3",West Indies,7 wickets,Port of Spain,1996-03-30,1996
ODI # 1088,Sri Lanka,Pakistan,349/9,"(49.4/50 ov, T:350) 315",Sri Lanka,34 runs,Singapore,1996-04-02,1996
ODI # 1089,India,Sri Lanka,199,"(48.1/50 ov, T:200) 187",India,12 runs,Singapore,1996-04-03,1996
ODI # 1090,New Zealand,West Indies,158,"(49.1/50 ov, T:159) 154",New Zealand,4 runs,Georgetown,1996-04-03,1996
ODI # 1091,India,Pakistan,226/8,"(28/33 ov, T:187) 190/2",Pakistan,8 wickets,Singapore,1996-04-05,1996
ODI # 1092,New Zealand,West Indies,241/8,(48.3/50 ov) 242/3,West Indies,7 wickets,Kingstown,1996-04-06,1996
ODI # 1093,Pakistan,Sri Lanka,215,"(32.5/50 ov, T:216) 172",Pakistan,43 runs,Singapore,1996-04-07,1996
ODI # 1094,Pakistan,India,271/5,"(47.2/50 ov, T:272) 233",Pakistan,38 runs,Sharjah,1996-04-12,1996
ODI # 1095,South Africa,Pakistan,314/3,"(50 ov, T:315) 171/7",South Africa,143 runs,Sharjah,1996-04-13,1996
ODI # 1096,Sri Lanka,West Indies,251,"(50 ov, T:252) 216/9",Sri Lanka,35 runs,Port of Spain,1996-04-13,1996
ODI # 1097,South Africa,India,288/6,"(50 ov, T:289) 208/8",South Africa,80 runs,Sharjah,1996-04-14,1996
ODI # 1098,India,Pakistan,305/5,"(46.1/48 ov, T:306) 277",India,28 runs,Sharjah,1996-04-15,1996
ODI # 1099,Pakistan,South Africa,188,(33.1/50 ov) 189/2,South Africa,8 wickets,Sharjah,1996-04-16,1996
ODI # 1100,India,South Africa,215/8,(47.1/50 ov) 216/5,South Africa,5 wickets,Sharjah,1996-04-17,1996
ODI # 1101,South Africa,India,287/5,"(50 ov, T:288) 249/9",South Africa,38 runs,Sharjah,1996-04-19,1996
ODI # 1103,India,England,158,"(39.3/42 ov, T:159) 162/4",England,6 wickets,Leeds,1996-05-25,1996
ODI # 1104,India,England,236/4,"(48.5/50 ov, T:237) 239/6",England,4 wickets,Manchester,1996-05-26,1996
ODI # 1105,Australia,Zimbabwe,263/7,"(41/50 ov, T:264) 138",Australia,125 runs,Colombo (RPS),1996-08-26,1996
ODI # 1106,India,Sri Lanka,226/5,"(44.2/50 ov, T:227) 230/1",Sri Lanka,9 wickets,Colombo (RPS),1996-08-28,1996
ODI # 1107,Pakistan,England,225/5,(46.4/50 ov) 226/5,England,5 wickets,Manchester,1996-08-29,1996
ODI # 1108,Australia,Sri Lanka,228/9,"(45.5/50 ov, T:229) 232/6",Sri Lanka,4 wickets,Colombo (RPS),1996-08-30,1996
ODI # 1109,England,Pakistan,292/8,"(37.5/50 ov, T:293) 185",England,107 runs,Birmingham,1996-08-31,1996
ODI # 1110,Zimbabwe,India,226,"(43.5/50 ov, T:227) 229/3",India,7 wickets,Colombo (SSC),1996-09-01,1996
ODI # 1111,England,Pakistan,246,(49.4/50 ov) 247/8,Pakistan,2 wickets,Nottingham,1996-09-01,1996
ODI # 1112,Zimbabwe,Sri Lanka,227/5,(47/50 ov) 228/4,Sri Lanka,6 wickets,Colombo (SSC),1996-09-03,1996
ODI # 1113,India,Australia,201,(44.3/45 ov) 202/7,Australia,3 wickets,Colombo (SSC),1996-09-06,1996
ODI # 1114,Sri Lanka,Australia,234/3,"(33/35 ov, T:235) 184",Sri Lanka,50 runs,Colombo (RPS),1996-09-07,1996
ODI # 1115,Pakistan,India,170/9,"(29.5/33 ov, T:171) 173/2",India,8 wickets,Toronto,1996-09-16,1996
ODI # 1116,India,Pakistan,264/6,"(49.5/50 ov, T:265) 266/8",Pakistan,2 wickets,Toronto,1996-09-17,1996
ODI # 1117,India,Pakistan,191,"(42.4/50 ov, T:192) 136",India,55 runs,Toronto,1996-09-18,1996
ODI # 1118,Pakistan,India,258/8,"(39.2/50 ov, T:259) 161",Pakistan,97 runs,Toronto,1996-09-21,1996
ODI # 1119,Pakistan,India,213/9,"(45.5/50 ov, T:214) 161",Pakistan,52 runs,Toronto,1996-09-23,1996
ODI # 1120,Kenya,Sri Lanka,188/9,"(30.4/50 ov, T:189) 190/3",Sri Lanka,7 wickets,Nairobi (Gym),1996-09-28,1996
ODI # 1121,South Africa,Pakistan,321/8,"(42.3/50 ov, T:322) 259",South Africa,62 runs,Nairobi (Gym),1996-09-29,1996
ODI # 1122,South Africa,Sri Lanka,169,(40.4/50 ov) 170/8,Sri Lanka,2 wickets,Nairobi (Club),1996-10-01,1996
ODI # 1123,Kenya,Pakistan,148,(40.2/50 ov) 149/6,Pakistan,4 wickets,Nairobi (Aga),1996-10-02,1996
ODI # 1124,South Africa,Kenya,305/8,"(25.1/50 ov, T:306) 103",South Africa,202 runs,Nairobi (Gym),1996-10-03,1996
ODI # 1125,Pakistan,Sri Lanka,371/9,"(49.5/50 ov, T:372) 289",Pakistan,82 runs,Nairobi (Gym),1996-10-04,1996
ODI # 1126,Pakistan,South Africa,203,(39.2/50 ov) 204/3,South Africa,7 wickets,Nairobi (Gym),1996-10-06,1996
ODI # 1127,South Africa,India,261/7,"(46.3/50 ov, T:262) 214",South Africa,47 runs,Hyderabad (Deccan),1996-10-17,1996
ODI # 1128,Australia,South Africa,219/7,(46.1/50 ov) 220/3,South Africa,7 wickets,Indore,1996-10-19,1996
ODI # 1129,Australia,India,215/7,(48.5/50 ov) 216/8,India,2 wickets,Bengaluru,1996-10-21,1996
ODI # 1130,South Africa,India,249/6,"(50 ov, T:250) 222/7",South Africa,27 runs,Jaipur,1996-10-23,1996
ODI # 1131,Australia,South Africa,215,"(47.2/50 ov, T:216) 218/8",South Africa,2 wickets,Faridabad,1996-10-25,1996
ODI # 1132,India,South Africa,185,"(48.4/50 ov, T:186) 188/5",South Africa,5 wickets,Rajkot,1996-10-29,1996
ODI # 1133,Zimbabwe,Pakistan,237/9,"(49.1/50 ov, T:238) 239/7",Pakistan,3 wickets,Quetta,1996-10-30,1996
ODI # 1134,Australia,South Africa,238/6,(45/50 ov) 239/2,South Africa,8 wickets,Guwahati,1996-11-01,1996
ODI # 1135,Zimbabwe,Pakistan,195,(28.4/50 ov) 196/1,Pakistan,9 wickets,Lahore,1996-11-01,1996
ODI # 1136,Pakistan,Zimbabwe,264/9,"(32.1/34 ov, T:225) 147",Pakistan,78 runs,Peshawar,1996-11-03,1996
ODI # 1137,India,Australia,289/6,"(49.1/50 ov, T:290) 284",India,5 runs,Mohali,1996-11-03,1996
ODI # 1138,India,South Africa,220/7,"(47.2/50 ov, T:221) 185",India,35 runs,Wankhede,1996-11-06,1996
ODI # 1139,New Zealand,Sri Lanka,206/8,"(49.1/50 ov, T:207) 177",New Zealand,29 runs,Sharjah,1996-11-07,1996
ODI # 1140,Sri Lanka,Pakistan,206,"(36/50 ov, T:207) 131",Sri Lanka,75 runs,Sharjah,1996-11-08,1996
ODI # 1141,New Zealand,Pakistan,197,(46.3/50 ov) 198/6,Pakistan,4 wickets,Sharjah,1996-11-10,1996
ODI # 1143,Sri Lanka,Pakistan,189,"(46.4/50 ov, T:190) 193/2",Pakistan,8 wickets,Sharjah,1996-11-12,1996
ODI # 1144,New Zealand,Pakistan,192,"(48.3/50 ov, T:193) 196/6",Pakistan,4 wickets,Sharjah,1996-11-13,1996
ODI # 1145,Pakistan,New Zealand,160,"(36.5/50 ov, T:161) 119",Pakistan,41 runs,Sharjah,1996-11-15,1996
ODI # 1146,Pakistan,New Zealand,228/8,"(45.4/46 ov, T:229) 217",Pakistan,11 runs,Gujranwala,1996-12-04,1996
ODI # 1147,West Indies,Australia,172,(48.4/50 ov) 173/5,Australia,5 wickets,Melbourne,1996-12-06,1996
ODI # 1148,Pakistan,New Zealand,277/9,"(42.1/47 ov, T:278) 231",Pakistan,46 runs,Sialkot,1996-12-06,1996
ODI # 1149,West Indies,Australia,161,(42/50 ov) 162/2,Australia,8 wickets,Sydney,1996-12-08,1996
ODI # 1150,Pakistan,New Zealand,234/4,(45.1/50 ov) 235/3,New Zealand,7 wickets,Karachi,1996-12-08,1996
ODI # 1151,India,South Africa,267/6,"(46/50 ov, T:268) 193",India,74 runs,Wankhede,1996-12-14,1996
ODI # 1152,Pakistan,Australia,223,"(47.5/50 ov, T:224) 211",Pakistan,12 runs,Adelaide,1996-12-15,1996
ODI # 1153,England,Zimbabwe,152,(43.5/50 ov) 153/8,Zimbabwe,2 wickets,Bulawayo,1996-12-15,1996
ODI # 1154,Pakistan,West Indies,176,(36.1/50 ov) 177/3,West Indies,7 wickets,Adelaide,1996-12-17,1996
ODI # 1155,Australia,Pakistan,199,"(45.3/50 ov, T:200) 203/6",Pakistan,4 wickets,Sydney,1997-01-01,1997
ODI # 1156,Zimbabwe,England,200,"(42/42 ov, T:186) 179/7",Zimbabwe,7 runs,Harare,1997-01-01,1997
ODI # 1157,Pakistan,West Indies,197,(48.1/50 ov) 198/4,West Indies,6 wickets,Brisbane,1997-01-03,1997
ODI # 1158,Zimbabwe,England,249/7,"(30/50 ov, T:250) 118",Zimbabwe,131 runs,Harare,1997-01-03,1997
ODI # 1159,Australia,West Indies,281/4,"(48.5/50 ov, T:282) 284/3",West Indies,7 wickets,Brisbane,1997-01-05,1997
ODI # 1160,Pakistan,Australia,149,"(41.3/50 ov, T:150) 120",Pakistan,29 runs,Hobart,1997-01-07,1997
ODI # 1161,Pakistan,West Indies,257/7,(48.4/50 ov) 258/5,West Indies,5 wickets,Perth,1997-01-10,1997
ODI # 1162,Australia,West Indies,267/7,"(49.2/50 ov, T:268) 269/6",West Indies,4 wickets,Perth,1997-01-12,1997
ODI # 1163,West Indies,Pakistan,181,"(39.2/50 ov, T:182) 183/2",Pakistan,8 wickets,Sydney,1997-01-14,1997
ODI # 1164,Pakistan,Australia,181/9,(49.3/50 ov) 182/7,Australia,3 wickets,Melbourne,1997-01-16,1997
ODI # 1165,West Indies,Pakistan,179/9,"(38.2/50 ov, T:180) 185/6",Pakistan,4 wickets,Sydney,1997-01-18,1997
ODI # 1166,Pakistan,West Indies,165,"(40.3/50 ov, T:166) 103",Pakistan,62 runs,Melbourne,1997-01-20,1997
ODI # 1167,South Africa,India,270/4,"(47.4/50 ov, T:271) 231",South Africa,39 runs,Bloemfontein,1997-01-23,1997
ODI # 1168,Zimbabwe,South Africa,211,(46.1/50 ov) 212/5,South Africa,5 wickets,Centurion,1997-01-25,1997
ODI # 1170,Zimbabwe,South Africa,226/6,"(47/50 ov, T:227) 229/5",South Africa,5 wickets,Cape Town,1997-01-29,1997
ODI # 1171,Zimbabwe,South Africa,256/8,"(48.3/50 ov, T:257) 259/6",South Africa,4 wickets,Johannesburg,1997-01-31,1997
ODI # 1172,India,South Africa,179/9,(45.1/50 ov) 180/4,South Africa,6 wickets,Gqeberha,1997-02-02,1997
ODI # 1173,India,South Africa,232/5,"(49.2/50 ov, T:233) 236/4",South Africa,6 wickets,East London,1997-02-04,1997
ODI # 1174,India,Zimbabwe,216,(33.4/34 ov) 171/7,Zimbabwe,3 wickets,Centurion,1997-02-07,1997
ODI # 1175,Zimbabwe,India,240/8,(39.2/50 ov) 241/4,India,6 wickets,Benoni,1997-02-09,1997
ODI # 1177,South Africa,India,278/8,"(39.2/40 ov, T:251) 234",South Africa,17 runs,Durban,1997-02-13,1997
ODI # 1178,India,Zimbabwe,168,"(25.5/38 ov, T:136) 139/2",Zimbabwe,8 wickets,Bulawayo,1997-02-15,1997
ODI # 1179,New Zealand,England,222/6,"(48.5/50 ov, T:223) 226/6",England,4 wickets,Christchurch,1997-02-20,1997
ODI # 1180,New Zealand,England,253/8,"(19.3/26 ov, T:132) 134/4",England,6 wickets,Auckland,1997-02-23,1997
ODI # 1182,New Zealand,England,153,"(41.3/43 ov, T:154) 144",New Zealand,9 runs,Auckland,1997-03-02,1997
ODI # 1183,New Zealand,England,228/8,"(47.5/50 ov, T:229) 200",New Zealand,28 runs,Wellington,1997-03-04,1997
ODI # 1184,New Zealand,Sri Lanka,201/9,(35.5/50 ov) 202/4,Sri Lanka,6 wickets,Christchurch,1997-03-25,1997
ODI # 1185,New Zealand,Sri Lanka,201,"(37.2/50 ov, T:202) 132",New Zealand,69 runs,Wellington,1997-03-27,1997
ODI # 1186,Australia,South Africa,223/9,"(47/50 ov, T:224) 227/4",South Africa,6 wickets,East London,1997-03-29,1997
ODI # 1187,South Africa,Australia,221/8,(45/50 ov) 222/3,Australia,7 wickets,Gqeberha,1997-03-31,1997
ODI # 1188,South Africa,Australia,245/8,"(44.5/50 ov, T:246) 199",South Africa,46 runs,Cape Town,1997-04-02,1997
ODI # 1189,Zimbabwe,Sri Lanka,187/9,(45.4/50 ov) 188/3,Sri Lanka,7 wickets,Sharjah,1997-04-03,1997
ODI # 1190,Sri Lanka,Pakistan,243/8,"(50 ov, T:244) 224/9",Sri Lanka,19 runs,Sharjah,1997-04-04,1997
ODI # 1191,Australia,South Africa,211/9,"(48.1/50 ov, T:212) 196",Australia,15 runs,Durban,1997-04-05,1997
ODI # 1192,Pakistan,Zimbabwe,187,"(31.4/50 ov, T:188) 94",Pakistan,93 runs,Sharjah,1997-04-06,1997
ODI # 1193,Sri Lanka,Pakistan,251/7,"(45.4/50 ov, T:252) 200",Sri Lanka,51 runs,Sharjah,1997-04-07,1997
ODI # 1194,Zimbabwe,Sri Lanka,203,"(46.1/50 ov, T:204) 153",Zimbabwe,50 runs,Sharjah,1997-04-08,1997
ODI # 1195,Australia,South Africa,258/7,"(50 ov, T:259) 250/8",Australia,8 runs,Johannesburg,1997-04-08,1997
ODI # 1196,Pakistan,Zimbabwe,151/9,"(40.1/50 ov, T:152) 119",Pakistan,32 runs,Sharjah,1997-04-09,1997
ODI # 1197,South Africa,Australia,284/7,"(49/50 ov, T:285) 287/5",Australia,5 wickets,Centurion,1997-04-10,1997
ODI # 1198,Pakistan,Sri Lanka,214,(49.2/50 ov) 215/6,Sri Lanka,4 wickets,Sharjah,1997-04-11,1997
ODI # 1199,South Africa,Australia,310/6,"(37/50 ov, T:311) 201",South Africa,109 runs,Bloemfontein,1997-04-13,1997
ODI # 1200,India,West Indies,179,"(27.5/33 ov, T:146) 149/2",West Indies,8 wickets,Port of Spain,1997-04-26,1997
ODI # 1201,West Indies,India,121,"(23.1/40 ov, T:113) 116/0",India,10 wickets,Port of Spain,1997-04-27,1997
ODI # 1202,West Indies,India,249/9,"(48.2/50 ov, T:250) 231",West Indies,18 runs,Kingstown,1997-04-30,1997
ODI # 1203,India,West Indies,199/7,(44.4/50 ov) 200/0,West Indies,10 wickets,Bridgetown,1997-05-03,1997
ODI # 1204,New Zealand,Pakistan,285/7,"(50 ov, T:286) 263/9",New Zealand,22 runs,Mohali,1997-05-09,1997
ODI # 1205,Pakistan,Sri Lanka,289/6,"(49.5/50 ov, T:290) 259",Pakistan,30 runs,Gwalior,1997-05-12,1997
ODI # 1206,New Zealand,India,220/9,(42.3/50 ov) 221/2,India,8 wickets,Bengaluru,1997-05-14,1997
ODI # 1207,India,Sri Lanka,225/7,"(40.5/50 ov, T:226) 229/5",Sri Lanka,5 wickets,Wankhede,1997-05-17,1997
ODI # 1208,Sri Lanka,New Zealand,214,"(44.5/50 ov, T:215) 162",Sri Lanka,52 runs,Hyderabad (Deccan),1997-05-20,1997
ODI # 1209,Pakistan,India,327/5,"(49.2/50 ov, T:328) 292",Pakistan,35 runs,Chennai,1997-05-21,1997
ODI # 1210,Australia,England,170/8,"(40.1/50 ov, T:171) 175/4",England,6 wickets,Leeds,1997-05-22,1997
ODI # 1212,Sri Lanka,Pakistan,339/4,"(43.5/50 ov, T:340) 224",Sri Lanka,115 runs,Mohali,1997-05-24,1997
ODI # 1211,Australia,England,249/6,"(48.2/50 ov, T:250) 253/4",England,6 wickets,The Oval,1997-05-24,1997
ODI # 1213,Australia,England,269,(49/50 ov) 270/4,England,6 wickets,Lord's,1997-05-25,1997
ODI # 1214,Sri Lanka,Pakistan,309,"(43.1/50 ov, T:310) 224",Sri Lanka,85 runs,Kolkata,1997-05-27,1997
ODI # 1215,West Indies,Sri Lanka,283/7,"(49/49 ov, T:284) 248/8",West Indies,35 runs,Port of Spain,1997-06-06,1997
ODI # 1216,Sri Lanka,Pakistan,239,"(50 ov, T:240) 224/9",Sri Lanka,15 runs,Colombo (RPS),1997-07-14,1997
ODI # 1217,Pakistan,Bangladesh,319/5,"(49.3/50 ov, T:320) 210",Pakistan,109 runs,Colombo (RPS),1997-07-16,1997
ODI # 1218,India,Sri Lanka,227/6,"(44.4/50 ov, T:228) 231/4",Sri Lanka,6 wickets,Colombo (RPS),1997-07-18,1997
ODI # 1220,Sri Lanka,Bangladesh,296/4,"(46/46 ov, T:297) 193/8",Sri Lanka,103 runs,Colombo (SSC),1997-07-22,1997
ODI # 1221,Bangladesh,India,130/8,"(15/43 ov, T:131) 132/1",India,9 wickets,Colombo (SSC),1997-07-24,1997
ODI # 1222,India,Sri Lanka,239/7,(36.5/50 ov) 240/2,Sri Lanka,8 wickets,Colombo (RPS),1997-07-26,1997
ODI # 1223,Sri Lanka,India,302/4,"(50 ov, T:303) 300/7",Sri Lanka,2 runs,Colombo (RPS),1997-08-17,1997
ODI # 1224,India,Sri Lanka,238,"(41.5/50 ov, T:239) 241/3",Sri Lanka,7 wickets,Colombo (RPS),1997-08-20,1997
ODI # 1226,Sri Lanka,India,264,"(50 ov, T:265) 255/8",Sri Lanka,9 runs,Colombo (SSC),1997-08-24,1997
ODI # 1227,India,Pakistan,208,"(44.2/49 ov, T:209) 188",India,20 runs,Toronto,1997-09-13,1997
ODI # 1228,Pakistan,India,116,(34.4/50 ov) 117/3,India,7 wickets,Toronto,1997-09-14,1997
ODI # 1230,India,Pakistan,182/6,"(36.5/50 ov, T:183) 148",India,34 runs,Toronto,1997-09-18,1997
ODI # 1231,Pakistan,India,159/6,"(25.3/26 ov, T:160) 162/3",India,7 wickets,Toronto,1997-09-20,1997
ODI # 1232,India,Pakistan,250/5,(41.5/48 ov) 251/5,Pakistan,5 wickets,Toronto,1997-09-21,1997
ODI # 1233,India,Pakistan,170,(44.3/50 ov) 171/5,Pakistan,5 wickets,Hyderabad (Sind),1997-09-28,1997
ODI # 1234,Pakistan,India,265/4,(46.3/47 ov) 266/6,India,4 wickets,Karachi,1997-09-30,1997
ODI # 1236,India,Pakistan,216,"(26.2/49 ov, T:217) 219/1",Pakistan,9 wickets,Lahore,1997-10-02,1997
ODI # 1237,New Zealand,Zimbabwe,185/7,"(48.2/50 ov, T:186) 188/7",Zimbabwe,3 wickets,Harare,1997-10-04,1997
ODI # 1238,New Zealand,Zimbabwe,294/7,"(44.1/50 ov, T:295) 211",New Zealand,83 runs,Harare,1997-10-05,1997
ODI # 1239,Kenya,Bangladesh,347/3,"(43.4/50 ov, T:348) 197",Kenya,150 runs,Nairobi (Gym),1997-10-10,1997
ODI # 1240,Zimbabwe,Bangladesh,305/4,"(47.1/50 ov, T:306) 257",Zimbabwe,48 runs,Nairobi (Gym),1997-10-11,1997
ODI # 1241,Kenya,Zimbabwe,249/8,(46.3/47 ov) 244/4,Zimbabwe,6 wickets,Nairobi (Gym),1997-10-12,1997
ODI # 1242,Zimbabwe,Bangladesh,284,"(32.3/50 ov, T:285) 92",Zimbabwe,192 runs,Nairobi (Aga),1997-10-14,1997
ODI # 1243,Bangladesh,Kenya,100,"(17/46 ov, T:101) 102/2",Kenya,8 wickets,Nairobi (Aga),1997-10-15,1997
ODI # 1244,Kenya,Zimbabwe,207/9,"(41.2/50 ov, T:208) 210/3",Zimbabwe,7 wickets,Nairobi (Aga),1997-10-16,1997
ODI # 1245,Zimbabwe,Kenya,281/8,"(40/40 ov, T:255) 172/7",Zimbabwe,83 runs,Nairobi (Gym),1997-10-18,1997
ODI # 1246,Zimbabwe,Kenya,272/6,"(46.1/49 ov, T:273) 190",Zimbabwe,82 runs,Nairobi (Gym),1997-10-19,1997
ODI # 1247,West Indies,Sri Lanka,237/8,"(39.4/50 ov, T:238) 240/3",Sri Lanka,7 wickets,Lahore,1997-11-01,1997
ODI # 1248,South Africa,Pakistan,271,"(50 ov, T:272) 262/9",South Africa,9 runs,Lahore,1997-11-02,1997
ODI # 1249,West Indies,South Africa,293/8,"(48.1/50 ov, T:294) 297/5",South Africa,5 wickets,Lahore,1997-11-03,1997
ODI # 1250,West Indies,Pakistan,215/7,"(40.4/50 ov, T:216) 219/2",Pakistan,8 wickets,Lahore,1997-11-04,1997
ODI # 1251,Pakistan,Sri Lanka,280,(40/50 ov) 281/2,Sri Lanka,8 wickets,Lahore,1997-11-05,1997
ODI # 1252,South Africa,Sri Lanka,311/9,"(50 ov, T:312) 245/9",South Africa,66 runs,Lahore,1997-11-06,1997
ODI # 1253,Sri Lanka,South Africa,209/7,(40.4/50 ov) 210/6,South Africa,4 wickets,Lahore,1997-11-08,1997
ODI # 1254,South Africa,Australia,200,"(38/50 ov, T:201) 133",South Africa,67 runs,Sydney,1997-12-04,1997
ODI # 1255,New Zealand,South Africa,224/6,"(47.5/50 ov, T:225) 177",New Zealand,47 runs,Adelaide,1997-12-06,1997
ODI # 1256,New Zealand,Australia,260/7,"(49.4/50 ov, T:261) 263/7",Australia,3 wickets,Adelaide,1997-12-07,1997
ODI # 1257,South Africa,Australia,170/8,"(39.1/50 ov, T:171) 125",South Africa,45 runs,Melbourne,1997-12-09,1997
ODI # 1258,South Africa,New Zealand,174/9,"(50 ov, T:175) 173/7",South Africa,1 run,Hobart,1997-12-11,1997
ODI # 1259,England,India,250,"(49.3/50 ov, T:251) 243",England,7 runs,Sharjah,1997-12-11,1997
ODI # 1260,West Indies,Pakistan,275/7,"(46/50 ov, T:276) 232",West Indies,43 runs,Sharjah,1997-12-12,1997
ODI # 1261,West Indies,England,197/7,(45.5/50 ov) 198/6,England,4 wickets,Sharjah,1997-12-13,1997
ODI # 1262,India,Pakistan,239/7,"(47.2/50 ov, T:240) 243/6",Pakistan,4 wickets,Sharjah,1997-12-14,1997
ODI # 1263,England,Pakistan,215/9,"(49/50 ov, T:216) 207",England,8 runs,Sharjah,1997-12-15,1997
ODI # 1264,West Indies,India,229/6,"(42.2/50 ov, T:230) 188",West Indies,41 runs,Sharjah,1997-12-16,1997
ODI # 1265,New Zealand,Australia,141,(38.5/50 ov) 142/4,Australia,6 wickets,Melbourne,1997-12-17,1997
ODI # 1266,West Indies,England,235/7,"(48.1/50 ov, T:236) 239/7",England,3 wickets,Sharjah,1997-12-19,1997
ODI # 1267,Sri Lanka,India,172/9,(37.5/43 ov) 173/3,India,7 wickets,Guwahati,1997-12-22,1997
ODI # 1269,India,Sri Lanka,228/6,(48.2/50 ov) 229/5,Sri Lanka,5 wickets,Margao,1997-12-28,1997
ODI # 1270,South Africa,New Zealand,300/6,"(50 ov, T:301) 298/9",South Africa,2 runs,Brisbane,1998-01-09,1998
ODI # 1271,Bangladesh,India,190,(46.2/48 ov) 191/6,India,4 wickets,Dhaka,1998-01-10,1998
ODI # 1273,India,Pakistan,245/7,"(37/37 ov, T:246) 227/9",India,18 runs,Dhaka,1998-01-11,1998
ODI # 1272,Australia,South Africa,235/8,(47.3/50 ov) 236/5,South Africa,5 wickets,Brisbane,1998-01-11,1998
ODI # 1274,Bangladesh,Pakistan,134,"(24.2/41 ov, T:135) 136/1",Pakistan,9 wickets,Dhaka,1998-01-12,1998
ODI # 1276,Pakistan,India,212/8,(37.1/46 ov) 213/2,India,8 wickets,Dhaka,1998-01-14,1998
ODI # 1275,Australia,New Zealand,250,"(33.1/50 ov, T:251) 119",Australia,131 runs,Sydney,1998-01-14,1998
ODI # 1277,India,Pakistan,189,"(31.3/50 ov, T:190) 193/4",Pakistan,6 wickets,Dhaka,1998-01-16,1998
ODI # 1278,South Africa,New Zealand,233/7,"(45.1/50 ov, T:234) 166",South Africa,67 runs,Perth,1998-01-16,1998
ODI # 1279,Pakistan,India,314/5,"(47.5/48 ov, T:315) 316/7",India,3 wickets,Dhaka,1998-01-18,1998
ODI # 1280,Australia,South Africa,165,"(28.2/50 ov, T:166) 170/3",South Africa,7 wickets,Perth,1998-01-18,1998
ODI # 1281,Australia,New Zealand,251/4,"(49.1/50 ov, T:252) 253/6",New Zealand,4 wickets,Melbourne,1998-01-21,1998
ODI # 1282,Zimbabwe,Sri Lanka,207,"(45.2/50 ov, T:208) 210/5",Sri Lanka,5 wickets,Colombo (SSC),1998-01-22,1998
ODI # 1283,South Africa,Australia,241/9,"(49.5/50 ov, T:242) 235",South Africa,6 runs,Melbourne,1998-01-23,1998
ODI # 1284,Zimbabwe,Sri Lanka,212/8,(48.2/50 ov) 213/5,Sri Lanka,5 wickets,Colombo (RPS),1998-01-24,1998
ODI # 1285,South Africa,Australia,228/6,(41.5/50 ov) 229/3,Australia,7 wickets,Sydney,1998-01-26,1998
ODI # 1286,Zimbabwe,Sri Lanka,281/6,"(49/50 ov, T:282) 286/6",Sri Lanka,4 wickets,Colombo (SSC),1998-01-26,1998
ODI # 1287,Australia,South Africa,247/7,"(48.1/50 ov, T:248) 233",Australia,14 runs,Sydney,1998-01-27,1998
ODI # 1288,New Zealand,Zimbabwe,248/7,"(48.2/50 ov, T:249) 208",New Zealand,40 runs,Hamilton,1998-02-04,1998
ODI # 1289,Zimbabwe,New Zealand,138,(28.2/50 ov) 139/2,New Zealand,8 wickets,Wellington,1998-02-06,1998
ODI # 1290,New Zealand,Australia,212/7,"(38.2/50 ov, T:213) 215/3",Australia,7 wickets,Christchurch,1998-02-08,1998
ODI # 1291,Australia,New Zealand,297/6,"(47.3/50 ov, T:298) 231",Australia,66 runs,Wellington,1998-02-10,1998
ODI # 1292,Australia,New Zealand,236,"(48.2/50 ov, T:237) 240/3",New Zealand,7 wickets,Napier,1998-02-12,1998
ODI # 1293,New Zealand,Australia,223/7,"(49.1/50 ov, T:224) 193",New Zealand,30 runs,Auckland,1998-02-14,1998
ODI # 1294,Zimbabwe,New Zealand,228/7,"(50 ov, T:229) 227/9",Zimbabwe,1 run,Christchurch,1998-03-04,1998
